"GEOID","total","age_group_1","age_group_2","age_group_3","disbility_percentage"
"42003472200",2185,0,97,104,0.0919908466819222
"42003482500",1870,21,169,138,0.175401069518717
"42003560500",2322,0,247,93,0.146425495262705
"42003170200",4016,0,200,73,0.0679780876494024
"42003151600",2459,0,233,235,0.190321268808459
"42003100500",1953,32,139,170,0.174603174603175
"42003051100",848,12,56,0,0.080188679245283
"42003050100",1806,0,94,224,0.176079734219269
"42003250900",1155,0,160,17,0.153246753246753
"42003981200",0,0,0,0,NA
"42003010302",4587,113,387,3,0.109657728362764
"42003192000",3277,143,317,206,0.203234665852914
"42003160900",3413,0,164,116,0.0820392616466452
"42003191900",2183,0,167,244,0.188273018781493
"42003310200",3295,18,295,280,0.179969650986343
"42003151700",4468,12,501,280,0.177484333034915
"42003141300",4852,46,198,252,0.102225886232481
"42003101100",2484,0,165,124,0.11634460547504
"42003080400",1666,0,100,34,0.0804321728691477
"42003070500",2918,0,115,36,0.0517477724468814
"42003140200",2421,10,118,46,0.0718711276332094
"42003111400",1289,45,127,140,0.242048099301784
"42003431100",3192,21,153,313,0.152568922305764
"42003428200",2092,39,172,150,0.172562141491396
"42003270100",2491,31,249,123,0.16178241670012
"42003270300",2116,0,344,123,0.22069943289225
"42003561900",1883,215,278,207,0.371747211895911
"42003515401",2182,11,65,5,0.037121906507791
"42003564100",961,4,19,124,0.152965660770031
"42003980600",4,0,4,0,1
"42003101900",2740,174,311,71,0.202919708029197
"42003120900",1610,13,177,145,0.208074534161491
"42003564800",1636,16,253,194,0.283007334963325
"42003565100",2951,4,247,135,0.130803117587259
"42003980000",0,0,0,0,NA
"42003463900",3015,13,212,287,0.169817578772803
"42003111300",2734,31,285,63,0.138624725676664
"42003070800",2576,0,82,44,0.0489130434782609
"42003130200",1138,0,161,128,0.253954305799649
"42003562400",3050,97,366,176,0.209508196721311
"42003982200",5656,217,249,0,0.0823903818953324
"42003281500",1483,46,147,80,0.184086311530681
"42003563201",261,0,26,20,0.176245210727969
"42003470501",4400,0,207,129,0.0763636363636364
"42003040500",2860,30,158,48,0.0825174825174825
"42003161000",2740,52,404,78,0.194890510948905
"42003010301",1889,0,0,0,0
"42003981100",0,0,0,0,NA
"42003472300",1798,32,166,116,0.174638487208009
"42003060300",2659,0,252,149,0.150808574652125
"42003981000",0,0,0,0,NA
"42003020100",4416,31,270,16,0.0717844202898551
"42003080200",1757,6,211,134,0.19977233921457
"42003040600",2309,0,144,49,0.0835859679514942
"42003478200",5544,23,414,294,0.131854256854257
"42003473100",4630,37,110,223,0.0799136069114471
"42003080900",1994,0,168,42,0.105315947843531
"42003140500",2221,0,118,121,0.107609185051778
"42003261500",1746,44,322,112,0.2737686139748
"42003469000",4856,25,131,380,0.110378912685338
"42003488300",1874,6,111,193,0.165421558164354
"42003560400",1478,25,200,65,0.196211096075778
"42003191100",2220,0,77,215,0.131531531531532
"42003191800",5332,25,511,410,0.17741935483871
"42003290200",4043,69,573,368,0.249814494187485
"42003320400",1842,12,119,150,0.152551574375679
"42003480400",4828,110,413,291,0.168599834299917
"42003476200",3250,9,223,138,0.113846153846154
"42003141100",1351,5,53,61,0.0880829015544041
"42003090100",2041,0,77,113,0.0930916217540421
"42003080700",2142,0,90,41,0.0611577964519141
"42003140400",2167,0,13,127,0.0646054453161052
"42003140100",6155,98,208,118,0.0688870836718115
"42003111500",3396,11,393,69,0.139281507656066
"42003421100",4994,8,148,303,0.091910292350821
"42003050600",1639,9,169,143,0.195851128737035
"42003040900",3414,0,276,80,0.104276508494435
"42003040400",1501,0,65,209,0.182544970019987
"42003040200",2109,24,191,19,0.110953058321479
"42003020300",1717,2,29,8,0.0227140361094933
"42003262000",2769,174,314,236,0.261466233297219
"42003260700",1638,38,79,52,0.103174603174603
"42003563100",3509,14,282,88,0.109432886862354
"42003980100",0,0,0,0,NA
"42003160800",2447,17,297,107,0.172047404985697
"42003565300",1291,7,144,115,0.206041828040279
"42003130700",2193,79,168,107,0.161422708618331
"42003562901",1534,0,68,43,0.0723598435462842
"42003431500",3098,55,171,139,0.117817947062621
"42003429700",2148,10,171,232,0.192271880819367
"42003429100",2469,75,60,61,0.0793843661401377
"42003427200",4620,47,229,569,0.182900432900433
"42003427000",3333,18,624,146,0.236423642364236
"42003261400",1995,0,312,140,0.2265664160401
"42003260200",2209,159,244,101,0.228157537347216
"42003480300",3617,51,186,238,0.131324301907658
"42003478100",4383,6,386,229,0.141683778234086
"42003141400",5455,0,285,368,0.119706691109074
"42003110200",4271,0,210,116,0.0763287286349801
"42003101800",2592,0,140,89,0.0883487654320988
"42003090300",1445,12,88,80,0.124567474048443
"42003080600",1776,0,81,69,0.0844594594594595
"42003070900",4252,84,129,194,0.095719661335842
"42003060500",975,5,61,108,0.178461538461538
"42003051000",2099,105,165,115,0.183420676512625
"42003140300",3331,11,73,135,0.0657460222155509
"42003120300",1702,42,150,164,0.209165687426557
"42003110600",2393,35,51,102,0.0785624738821563
"42003424000",3146,0,301,191,0.156389065479975
"42003422000",5264,47,72,73,0.0364741641337386
"42003483800",2885,0,377,403,0.270363951473137
"42003460002",3739,58,184,234,0.127306766515111
"42003488500",2645,0,171,182,0.133459357277883
"42003523100",3696,0,234,220,0.122835497835498
"42003473300",5867,30,87,338,0.0775524117947844
"42003481000",3347,161,365,170,0.207947415596056
"42003484300",3587,0,160,296,0.127125731809311
"42003190300",1988,19,31,115,0.0829979879275654
"42003191400",2433,0,163,138,0.123715577476367
"42003191500",1931,0,132,59,0.0989124805800104
"42003281400",2559,53,148,83,0.110980851895272
"42003290100",1789,26,188,119,0.186137506987144
"42003320700",1765,44,83,73,0.113314447592068
"42003472100",2373,29,373,51,0.190897597977244
"42003562600",2928,101,530,104,0.251024590163934
"42003562000",2535,36,145,164,0.136094674556213
"42003562300",3077,114,231,397,0.241143971400715
"42003980900",41,0,0,0,0
"42003980400",0,0,0,0,NA
"42003562800",1583,3,155,145,0.191408717624763
"42003130600",3830,482,537,73,0.285117493472585
"42003562700",2002,20,115,52,0.0934065934065934
"42003141200",4134,7,241,180,0.103531688437349
"42003565200",3110,21,400,246,0.214469453376206
"42003563000",3179,3,351,200,0.174268637936458
"42003980500",14,0,5,0,0.357142857142857
"42003980700",98,0,0,0,0
"42003202300",3740,0,206,123,0.0879679144385027
"42003070600",2219,0,80,148,0.102748986029743
"42003428100",1108,0,35,51,0.0776173285198556
"42003562500",2714,106,222,85,0.152173913043478
"42003130800",2128,113,505,146,0.359022556390977
"42003241300",3599,60,401,136,0.165879410947485
"42003271600",4442,112,450,191,0.169518235029266
"42003980800",0,0,0,0,NA
"42003484500",5246,66,435,319,0.156309569195578
"42003180300",1852,23,173,74,0.145788336933045
"42003191700",3582,22,373,251,0.18034617532105
"42003320600",2202,7,115,145,0.12125340599455
"42003050900",1539,22,136,176,0.217024041585445
"42003101400",3187,0,192,154,0.108566049576404
"42003464300",3334,20,207,183,0.122975404919016
"42003462100",2583,114,156,108,0.146341463414634
"42003140800",4767,0,119,208,0.0685966016362492
"42003515300",1520,20,129,69,0.143421052631579
"42003423000",2866,10,213,137,0.125610607117934
"42003030500",2989,0,111,201,0.104382736701238
"42003270800",2416,35,119,107,0.108029801324503
"42003561400",3585,60,559,237,0.238772663877266
"42003191600",3750,23,313,343,0.181066666666667
"42003465800",3629,52,304,112,0.128961146321301
"42003459201",7360,0,206,199,0.0550271739130435
"42003464400",2812,146,315,290,0.267069701280228
"42003202200",2475,100,306,132,0.217373737373737
"42003090200",2705,0,148,208,0.131608133086876
"42003563202",1956,0,238,118,0.18200408997955
"42003170600",1675,13,171,70,0.151641791044776
"42003300100",3721,22,218,81,0.0862671324912658
"42003476100",4987,0,288,293,0.116502907559655
"42003261300",3157,0,167,108,0.0871080139372822
"42003479000",1959,55,118,125,0.15211842776927
"42003290400",3482,43,281,244,0.163124641010913
"42003470502",2981,19,261,294,0.192552834619255
"42003980300",0,0,0,0,NA
"42003465600",2366,0,244,223,0.19737954353339
"42003477200",4384,25,45,448,0.118156934306569
"42003180700",2417,0,126,126,0.10426148117501
"42003070300",2247,7,80,101,0.0836671117044949
"42003425000",3383,59,448,261,0.227017440141886
"42003981800",344,7,16,0,0.0668604651162791
