"GEOID","total","baa","hl","minority_percentage"
"42003472200",2185,175,71,0.112585812356979
"42003482500",1870,212,187,0.213368983957219
"42003560500",2322,148,93,0.103789836347976
"42003170200",4016,765,11,0.193227091633466
"42003151600",2459,61,114,0.0711671411142741
"42003100500",1953,1105,64,0.598566308243728
"42003051100",848,539,0,0.63561320754717
"42003050100",1806,1641,2,0.909745293466224
"42003250900",1155,513,67,0.502164502164502
"42003981200",0,0,0,NA
"42003010302",4587,518,234,0.163941574013516
"42003192000",3277,431,101,0.162343606957583
"42003160900",3413,203,88,0.0852622326399062
"42003191900",2183,61,52,0.0517636280348145
"42003310200",3295,215,29,0.074051593323217
"42003151700",4468,493,401,0.200089525514772
"42003141300",4852,97,132,0.04719703215169
"42003101100",2484,179,27,0.0829307568438003
"42003080400",1666,76,67,0.0858343337334934
"42003070500",2918,109,372,0.164838930774503
"42003140200",2421,77,82,0.0656753407682776
"42003111400",1289,672,50,0.560124127230411
"42003431100",3192,331,43,0.117167919799499
"42003428200",2092,70,34,0.0497131931166348
"42003270100",2491,367,54,0.169008430349257
"42003270300",2116,849,12,0.406899810964083
"42003561900",1883,1765,8,0.941582580987785
"42003515401",2182,281,260,0.247937671860678
"42003564100",961,15,31,0.0478668054110302
"42003980600",4,0,0,0
"42003101900",2740,1625,124,0.638321167883212
"42003120900",1610,1164,98,0.783850931677019
"42003564800",1636,1116,0,0.682151589242054
"42003565100",2951,803,184,0.33446289393426
"42003980000",0,0,0,NA
"42003463900",3015,882,0,0.292537313432836
"42003111300",2734,465,227,0.253108997805413
"42003070800",2576,74,217,0.112965838509317
"42003130200",1138,941,0,0.82688927943761
"42003562400",3050,1171,487,0.543606557377049
"42003982200",5656,535,200,0.129950495049505
"42003281500",1483,491,4,0.33378287255563
"42003563201",261,0,7,0.0268199233716475
"42003470501",4400,94,0,0.0213636363636364
"42003040500",2860,126,169,0.103146853146853
"42003161000",2740,1074,58,0.413138686131387
"42003010301",1889,1031,68,0.581789306511382
"42003981100",0,0,0,NA
"42003472300",1798,100,58,0.0878754171301446
"42003060300",2659,182,95,0.104174501692366
"42003981000",0,0,0,NA
"42003020100",4416,415,251,0.150815217391304
"42003080200",1757,87,74,0.0916334661354582
"42003040600",2309,77,35,0.0485058466868774
"42003478200",5544,494,21,0.0928932178932179
"42003473100",4630,9,45,0.0116630669546436
"42003080900",1994,153,128,0.140922768304915
"42003140500",2221,370,164,0.240432237730752
"42003261500",1746,1010,0,0.578465063001146
"42003469000",4856,2,33,0.00720757825370675
"42003488300",1874,8,89,0.051760939167556
"42003560400",1478,531,157,0.465493910690122
"42003191100",2220,27,33,0.027027027027027
"42003191800",5332,241,180,0.0789572393098275
"42003290200",4043,670,157,0.204551075933713
"42003320400",1842,138,24,0.0879478827361563
"42003480400",4828,192,37,0.0474316487158244
"42003476200",3250,142,4,0.0449230769230769
"42003141100",1351,56,26,0.0606957809030348
"42003090100",2041,241,100,0.167074963253307
"42003080700",2142,117,196,0.146125116713352
"42003140400",2167,30,148,0.0821412090447623
"42003140100",6155,383,418,0.130138099106418
"42003111500",3396,1609,33,0.483510011778563
"42003421100",4994,122,80,0.0404485382458951
"42003050600",1639,951,0,0.580231848688225
"42003040900",3414,553,76,0.184241359109549
"42003040400",1501,62,16,0.0519653564290473
"42003040200",2109,542,64,0.287339971550498
"42003020300",1717,5,114,0.0693069306930693
"42003262000",2769,823,18,0.30371975442398
"42003260700",1638,425,64,0.298534798534799
"42003563100",3509,252,106,0.102023368481049
"42003980100",0,0,0,NA
"42003160800",2447,132,174,0.125051082958725
"42003565300",1291,101,16,0.0906274206041828
"42003130700",2193,1951,66,0.919744642042864
"42003562901",1534,428,2,0.280312907431552
"42003431500",3098,422,53,0.153324725629438
"42003429700",2148,61,0,0.0283985102420857
"42003429100",2469,148,155,0.122721749696233
"42003427200",4620,74,167,0.0521645021645022
"42003427000",3333,283,20,0.0909090909090909
"42003261400",1995,1072,51,0.562907268170426
"42003260200",2209,611,60,0.303757356269805
"42003480300",3617,98,80,0.049212054188554
"42003478100",4383,268,34,0.0689025781428245
"42003141400",5455,261,599,0.157653528872594
"42003110200",4271,656,161,0.191290095996254
"42003101800",2592,353,48,0.154706790123457
"42003090300",1445,40,32,0.0498269896193772
"42003080600",1776,37,43,0.045045045045045
"42003070900",4252,266,107,0.0877234242709313
"42003060500",975,13,0,0.0133333333333333
"42003051000",2099,996,92,0.518342067651263
"42003140300",3331,152,177,0.0987691383968778
"42003120300",1702,1560,105,0.978260869565217
"42003110600",2393,201,51,0.105307145842039
"42003424000",3146,287,131,0.132867132867133
"42003422000",5264,0,236,0.0448328267477204
"42003483800",2885,1645,49,0.587175043327556
"42003460002",3739,292,73,0.0976196844075956
"42003488500",2645,89,17,0.0400756143667297
"42003523100",3696,2848,16,0.774891774891775
"42003473300",5867,83,113,0.0334071927731379
"42003481000",3347,1188,179,0.408425455631909
"42003484300",3587,1233,10,0.346529132980206
"42003190300",1988,89,150,0.120221327967807
"42003191400",2433,86,36,0.0501438553226469
"42003191500",1931,91,88,0.0926980838943553
"42003281400",2559,1024,0,0.400156311059007
"42003290100",1789,262,173,0.24315259921744
"42003320700",1765,34,36,0.0396600566572238
"42003472100",2373,200,131,0.139485882848715
"42003562600",2928,777,55,0.284153005464481
"42003562000",2535,225,120,0.136094674556213
"42003562300",3077,1400,226,0.528436789080273
"42003980900",41,15,0,0.365853658536585
"42003980400",0,0,0,NA
"42003562800",1583,76,14,0.0568540745420088
"42003130600",3830,3704,22,0.972845953002611
"42003562700",2002,329,29,0.178821178821179
"42003141200",4134,259,164,0.102322206095791
"42003565200",3110,1857,57,0.615434083601286
"42003563000",3179,1053,290,0.422459893048128
"42003980500",14,0,0,0
"42003980700",98,0,0,0
"42003202300",3740,543,18,0.15
"42003070600",2219,0,105,0.0473186119873817
"42003428100",1108,25,43,0.0613718411552347
"42003562500",2714,1838,94,0.711864406779661
"42003130800",2128,1786,42,0.859022556390977
"42003241300",3599,407,209,0.171158655181995
"42003271600",4442,1716,275,0.44822152183701
"42003980800",0,0,0,NA
"42003484500",5246,26,29,0.0104841784216546
"42003180300",1852,776,105,0.475701943844492
"42003191700",3582,66,319,0.107481853713009
"42003320600",2202,14,46,0.0272479564032698
"42003050900",1539,1373,86,0.948018193632229
"42003101400",3187,236,126,0.113586444932538
"42003464300",3334,333,53,0.115776844631074
"42003462100",2583,865,0,0.334881920247774
"42003140800",4767,393,122,0.108034403188588
"42003515300",1520,595,52,0.425657894736842
"42003423000",2866,82,0,0.0286113049546406
"42003030500",2989,1725,151,0.627634660421546
"42003270800",2416,338,135,0.195778145695364
"42003561400",3585,2130,121,0.6278940027894
"42003191600",3750,498,230,0.194133333333333
"42003465800",3629,141,138,0.0768806833838523
"42003459201",7360,432,346,0.10570652173913
"42003464400",2812,611,169,0.277382645803698
"42003202200",2475,544,100,0.26020202020202
"42003090200",2705,57,115,0.0635859519408503
"42003563202",1956,461,80,0.276584867075665
"42003170600",1675,201,67,0.16
"42003300100",3721,1640,331,0.529696318194034
"42003476100",4987,249,266,0.103268498095047
"42003261300",3157,2036,39,0.657269559708584
"42003479000",1959,0,0,0
"42003290400",3482,602,210,0.233199310740953
"42003470502",2981,70,6,0.0254948004025495
"42003980300",0,0,0,NA
"42003465600",2366,344,53,0.167793744716822
"42003477200",4384,14,17,0.00707116788321168
"42003180700",2417,532,137,0.276789408357468
"42003070300",2247,176,124,0.133511348464619
"42003425000",3383,100,137,0.0700561631687851
"42003981800",344,55,11,0.191860465116279
